"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20190101","화","여","20대","서울특별시","강남구","삼성동","치킨","12"
"20190101","화","여","20대","서울특별시","강남구","일원동","치킨","5"
"20190101","화","남","10대","서울특별시","강남구","역삼동","치킨","5"
"20190101","화","남","10대","서울특별시","강남구","삼성동","치킨","11"
"20190101","화","남","10대","서울특별시","강남구","도곡동","치킨","5"
"20190101","화","남","10대","서울특별시","강남구","대치동","치킨","5"
"20190101","화","남","10대","서울특별시","강남구","논현동","치킨","5"
"20190101","화","여","60대이상","서울특별시","강남구","역삼동","치킨","5"
"20190101","화","여","60대이상","서울특별시","강남구","논현동","치킨","5"
"20190101","화","남","20대","서울특별시","강남구","개포동","치킨","13"
"20190101","화","남","20대","서울특별시","강남구","논현동","치킨","18"
"20190101","화","남","20대","서울특별시","강남구","대치동","치킨","5"
"20190101","화","남","20대","서울특별시","강남구","수서동","치킨","5"
"20190101","화","남","20대","서울특별시","강남구","역삼동","치킨","17"
"20190101","화","남","30대","서울특별시","강남구","수서동","치킨","5"
"20190101","화","여","50대","서울특별시","강남구","수서동","치킨","5"
"20190101","화","여","50대","서울특별시","강남구","논현동","치킨","14"
"20190101","화","남","40대","서울특별시","강남구","개포동","치킨","12"
"20190101","화","남","40대","서울특별시","강남구","세곡동","치킨","5"
"20190101","화","남","40대","서울특별시","강남구","역삼동","치킨","37"
"20190101","화","남","40대","서울특별시","강남구","자곡동","치킨","5"
"20190101","화","여","20대","서울특별시","강남구","역삼동","치킨","16"
"20190101","화","여","40대","서울특별시","강남구","역삼동","치킨","45"
"20190101","화","여","40대","서울특별시","강남구","압구정동","치킨","5"
"20190101","화","여","40대","서울특별시","강남구","개포동","치킨","25"
"20190101","화","남","50대","서울특별시","강남구","개포동","치킨","9"
"20190101","화","남","50대","서울특별시","강남구","논현동","치킨","12"
"20190101","화","남","50대","서울특별시","강남구","삼성동","치킨","24"
"20190101","화","남","10대","서울특별시","강남구","개포동","치킨","5"
"20190101","화","남","60대이상","서울특별시","강남구","개포동","치킨","5"
"20190101","화","남","60대이상","서울특별시","강남구","논현동","치킨","5"
"20190101","화","남","60대이상","서울특별시","강남구","삼성동","치킨","15"
"20190101","화","여","30대","서울특별시","강남구","일원동","치킨","5"
"20190101","화","여","30대","서울특별시","강남구","역삼동","치킨","29"
"20190101","화","여","10대","서울특별시","강남구","삼성동","치킨","8"
"20190101","화","여","10대","서울특별시","강남구","역삼동","치킨","5"
"20190101","화","여","30대","서울특별시","강남구","수서동","치킨","5"
"20190101","화","여","30대","서울특별시","강남구","세곡동","치킨","5"
